ID;Authority;AuthorityCountry;Date;Fine;OrganizationPublished;Specific;OrganizationMatched;OrganizationCountry;OrganizationSector;OrganizationRevenue;OrganizationEmployees;OrganizationStatus;OrganizationDomestic;Articles;Type;Summary;Source
41;Data Protection Commissioner of Malta;Malta;18.02.19;5000;Lands Authority;No;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 5 GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;As a result of the lack of appropriate security measures on the Lands Authority website, over 10 gigabytes of personal data became easily accessible to the public via a simple google search. The majority of the leaked data contained highly-sensitive information and correspondence between individuals and the Authority itself. The Lands Authority chose not to appeal. In Malta, in the case of a breach by a public authority or body, the Data Protection Commissioner may impose an administrative fine of up to ?25,000 for each violation and may additionally impose a daily fine of ?25 for each day such violation persists.;https://www.gvzh.com.mt/malta-news/idpc-fines-lands-authority-data-breach/
42;Norwegian Supervisory Authority (Datatilsynet);Norway;01.03.19;170000;Bergen Municipality;Yes;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;"The incident relates to computer files with usernames and passwords to over 35000 user accounts in the municipality?s computer system. The user accounts related to both pupils in the municipality?s primary schools, and to the employees of the same schools. Due to insufficient security measures, these files have been unprotected and openly accessible. The lack of security measures in the system made it possible for anyone to log in to the school?s various information systems, and thereby to access various categories of personal data relating to the pupils and employees of the schools.

The fact that the security breach encompasses personal data to over 35 000 individuals, and that the majority of these are children, were considered to be aggravating factors. The municipality had also been warned several times, both by the authority and an internal whistleblower, that the data security was inadequate.";https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/
43;Polish National Personal Data Protection Office (UODO);Poland;26.03.19;220000;Private company working with data from publicly available sources;No;NA;NA;NA;NA;NA;NA;Yes;Art. 14 GDPR;Insufficient fulfilment of information obligations;"The fine concerned the proceedings related to the activity of a company which processed the data subjects? data obtained from publicly available sources, inter alia from the Central Electronic Register and Information on Economic Activity, and processed the data for commercial purposes. The authority verified incompliance with the information obligation in relation to natural persons conducting business activity ? entrepreneurs who are currently conducting such activity or have suspended it, as well as entrepreneurs who conducted such activity in the past. The controller fulfilled the information obligation by providing the information required under Art. 14 (1) ? (3) of the GDPR only in relation to the persons whose e-mail addresses it had at its disposal. In case of the remaining persons the controller failed to comply with the information obligation ? as it explained in the course of the proceedings ? due to high operational costs. Therefore, it presented the information clause only on its website. According to the UODO this is not sufficient.

Addendum: In the meantime, the court has cancelled the fine due to procedural errors. The amount of the fine has to be determined by the concrete number of data records concerned. However, the Office had not submitted any verifiable evidence in this regard, but had simply assumed that 6 million data sets were involved, which the data controller had denied. Therefore, important statements were missing. In particular, it was incorrect to justify the amount of the fine on the basis of general preventive considerations. Art. 58 GDPR expressly states that a fine imposed must be related to the specific facts of the case. The Polish data protection authority has already announced that the fine will be revised in a new administrative procedure.";https://uodo.gov.pl/en/553/1009
45;Portuguese Data Protection Authority (CNPD);Portugal;17.07.18;400000;Public Hospital;No;NA;NA;Hospitals;NA;NA;NA;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;Investigation revealed that the hospital?s staff, psychologists, dietitians and other professionals had access to patient data through false profiles.  The profile management system appeared deficient ? the hospital had 985 registered doctor profiles while only having 296 doctors.  Moreover, doctors had unrestricted access to all patient files, regardless of the doctor?s specialty.;https://www.cnpd.pt/bin/decisoes/Delib/20_984_2018.pdf
46;Spanish Data Protection Authority (aepd);Spain;NA;5000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) d) GDPR;Non-compliance with general data processing principles;The spanish telecommunications and informations agancy (SETSI) decided Vodafone had to reimburse a customer for costs he was wrongfully charged for. Nevertheless, Vodafone reported personal data of this respective customer to a solvency registry (BADEXCUG). The AEPD found this behaviour violated the principle of accuracy.;https://www.aepd.es/resoluciones/PS-00331-2018_ORI.pdf
48;Spanish Data Protection Authority (aepd);Spain;NA;60000;Debt collecting agancy (GESTION DE COBROS, YO COBRO SL);Yes;NA;NA;Finance & Insurance;NA;NA;NA;Yes;Art. 5 (1) f) GDPR;Insufficient legal basis for data processing;After the claimant did alledgedly not pay back a microcredit to an online credit agany, the claim was assigned to the debt collecting agancy. Subsequently, the latter startet sending emails not only to email addresses provided by the claimant but also to an institutional email address of his workplace accessible by any co-worker which was never provided by the claimant.;https://www.aepd.es/resoluciones/PS-00121-2019_ORI.pdf
49;Spanish Data Protection Authority (aepd);Spain;NA;27000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) d) GDPR;Insufficient fulfilment of data subjects rights;Although the complainant (a former Vodafone customer) had requested Vodafone to delete his data in 2015 and this request had been confirmed by the company, he received more than 200 SMS from the company from 2018 onwards. Following Vodafone's statement, this happened because the complainant's mobile phone number was erroneously used for testing purposes and accidentally appeared in various customer files belonging to other customers than the complainant. Since the company agreed to both payment and admission of responsibility the fine was reduced in accordance with Spanish administrative law to EUR 27k.;https://www.aepd.es/resoluciones/PS-00411-2018_ORI.pdf
51;French Data Protection Authority (CNIL);France;13.06.19;20000;Employer UNIONTRAD COMPANY;Yes;Uniontrade Spa;Italy;Wholesale;66900000;52;Private;No;Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR;Insufficient legal basis for data processing;Between 2013 and 2017, the CNIL received complaints from several employees of the company who were filmed at their workstation. On two occasions, it alerted the company to the rules to be observed when installing cameras in the workplace, in particular, that employees should not be filmed continuously and that information about the data processing has to be provided. In the absence of satisfactory measures at the end of the deadline set in the formal notice, the CNIL carried out a second audit in October 2018 which confirmed that the employer was still breaching data protection laws when recording employees with CCTV. When determening the amount of the fine, the CNIL took into account the size (9 employees) and the financial situation of the company, which presented a negative net result in 2017 (turnover of 885,739 EUR in 2017 and a negative net result of 110,844 EUR), to retain a dissuasive but proportionate administrative fine.;https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038629823&fastReqId=946473298&fastPos=1
54;Data Protection Commision of Bulgaria (KZLD);Bulgaria;08.04.19;510;Medical centers;No;NA;NA;Hospitals;NA;NA;NA;Yes;Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR;Insufficient legal basis for data processing;The sanction of 510 EUR was imposed on each medical center for unlawful processing of the personal data of data subject G.B. by a medical centre for the purpose of changing his GP. The medical centre used a software to generate a registration form for change of GP which was submitted to the Regional Health Insurance Fund and then to another medical centre, which subsequently also unlawfully processed the personal data of G.B.;https://www.cpdp.bg/?p=element_view&aid=2192
55;Data Protection Commision of Bulgaria (KZLD);Bulgaria;26.03.19;5100;A.P. EOOD;Yes;NA;NA;NA;NA;NA;NA;Yes;Art. 5 (1) a) GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The sanction was imposed on personal data administrator A.P. EOOD for unlawful processing of personal data. The personal data of data subject D.D. was used by A.P. EOOD for preparing an Employment Contract, while he was in prison.;https://www.cpdp.bg/?p=element_view&aid=2191
56;Spanish Data Protection Authority (aepd);Spain;NA;60000;ENDESA (energy supplyer);Yes;Endesa SA;Spain;Energy;18400000000;9591;Public;Yes;Art. 5 (1) f) GDPR;Insufficient legal basis for data processing;The complainant's bank account was charged by ENDESA, the beneficiary of which was a third party, who had been convicted under criminal law and imposed with a two-year restraining order regarding the claimant, her domicile and work. Instead amending the contract details as requested by the claimant ENDESA deleted her data erroneously and fillid in the data of the third party. The AEPD found the disclosure of the claimant's data to the third party was a severe violation of the principle of confidentiality.;https://www.aepd.es/resoluciones/PS-00074-2019_ORI.pdf
57;Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP);Romania;27.06.19;130000;UNICREDIT BANK SA;Yes;UniCredit SpA;Italy;Banks;28800000000;97775;Public;No;Art. 25 (1) GDPR, Art. 5 (1) c) GDPR;Insufficient technical and organisational measures to ensure information security;The fine was issued as a result of the failure to implement appropriate technical and organisational measures (related to (1) the determination of the processing means/operations, and (2) the integration the necessary safeguards) resulting in the online-disclosure of IDs and addresses (interla/external transactions) of 337,042 data subjects to their respective beneficiary (between 25.05.2018 -10.12.2018).;https://www.dataprotection.ro/?page=Comunicat_Amenda_Unicredit&lang=ro
